"trust_name","trust_code","year","readmission_rate","readmissions","discharges","banding"
"NUFFIELD HOSPITAL OXFORD (THE MANOR)","NT244","2024/25",38.70,10,45,"A5"
"MIDLANDS PARTNERSHIP NHS FOUNDATION TRUST","RRE","2024/25",25.40,2275,6855,"A1"
"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST","RFS","2024/25",20.70,9855,43555,"A1"
"ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST","RA2","2024/25",19.30,7865,42515,"A1"
"ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST","RXE","2024/25",18.90,35,210,"W"
"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4","2024/25",18.80,20910,101155,"A1"
"GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST","RTE","2024/25",18.80,13630,73635,"A1"
"TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST","RA9","2024/25",18.70,7220,35700,"A1"
"THE CHRISTIE NHS FOUNDATION TRUST","RBV","2024/25",18.60,55,345,"W"
"CLIFTON PARK HOSPITAL","NVC28","2024/25",18.50,65,1025,"W"
"BMI - THE HARBOUR HOSPITAL","NT419","2024/25",18.50,10,175,"W"
"MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST","RWF","2024/25",18.40,14680,74880,"A1"
"ROWLEY HALL HOSPITAL","NVC17","2024/25",18.40,85,1200,"A5"
"BARLBOROUGH NHS TREATMENT CENTRE","NTP13","2024/25",18.10,120,1950,"A5"
"UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST","RJE","2024/25",17.90,18325,98850,"A1"
"PORTSMOUTH HOSPITALS NHS TRUST","RHU","2024/25",17.70,12505,65730,"A1"
"LEWISHAM AND GREENWICH NHS TRUST","RJ2","2024/25",17.50,11590,63560,"A1"
"NORTH WEST ANGLIA NHS FOUNDATION TRUST","RGN","2024/25",17.30,11285,61205,"A1"
"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST","RXQ","2024/25",17.20,10020,58330,"A1"
"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST","RAE","2024/25",17.00,8415,48450,"A1"
