"trust_name","trust_code","year","readmission_rate","readmissions","discharges"
"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4","2014/15",12.70,7160,50015
"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4","2015/16",14.30,8650,55245
"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4","2016/17",14.10,8390,54740
"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4","2017/18",16.00,9900,56975
"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4","2018/19",16.70,9760,54170
"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4","2019/20",16.70,9270,52165
"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4","2020/21",19.60,9035,44270
"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4","2021/22",17.70,9915,52520
"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4","2022/23",18.70,11690,57640
"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4","2023/24",19.30,18410,86655
"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4","2024/25",18.80,20910,101155
"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST","RFS","2014/15",13.50,4700,32585
"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST","RFS","2015/16",13.40,4540,31345
"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST","RFS","2016/17",13.10,4580,32065
"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST","RFS","2017/18",13.90,5070,33275
"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST","RFS","2018/19",13.90,4990,33580
"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST","RFS","2019/20",14.10,5140,33905
"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST","RFS","2020/21",15.30,4520,27550
"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST","RFS","2021/22",16.10,5835,33395
"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST","RFS","2022/23",18.20,7345,37225
"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST","RFS","2023/24",18.90,8795,42820
"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST","RFS","2024/25",20.70,9855,43555
"MIDLANDS PARTNERSHIP NHS FOUNDATION TRUST","RRE","2018/19",18.40,85,355
"MIDLANDS PARTNERSHIP NHS FOUNDATION TRUST","RRE","2019/20",25.10,340,950
"MIDLANDS PARTNERSHIP NHS FOUNDATION TRUST","RRE","2020/21",17.20,95,405
"MIDLANDS PARTNERSHIP NHS FOUNDATION TRUST","RRE","2021/22",13.30,50,390
"MIDLANDS PARTNERSHIP NHS FOUNDATION TRUST","RRE","2022/23",15.50,95,540
"MIDLANDS PARTNERSHIP NHS FOUNDATION TRUST","RRE","2023/24",25.70,1880,5765
"MIDLANDS PARTNERSHIP NHS FOUNDATION TRUST","RRE","2024/25",25.40,2275,6855
