"trust_name","trust_code","actual_rate_pct","england_avg_pct","excess_rate_pct","excess_readmissions","estimated_excess_cost_gbp"
"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",18.80,14.70,4.10,4147,11612594
"UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST","RJE",17.90,14.70,3.20,3163,8856960
"GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST","RTE",18.80,14.70,4.10,3019,8453298
"MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST","RWF",18.40,14.70,3.70,2771,7757568
"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST","RFS",20.70,14.70,6.00,2613,7317240
"PORTSMOUTH HOSPITALS NHS TRUST","RHU",17.70,14.70,3.00,1972,5521320
"ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST","RA2",19.30,14.70,4.60,1956,5475932
"LEWISHAM AND GREENWICH NHS TRUST","RJ2",17.50,14.70,2.80,1780,4983104
"NORTH WEST ANGLIA NHS FOUNDATION TRUST","RGN",17.30,14.70,2.60,1591,4455724
"NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST","RX1",16.20,14.70,1.50,1586,4440870
